ArttÄ±rÄ±labilir Azami Bellek,Arttırılabilir Azami Bellek,BaÄŸlantÄ±lar,Bağlantılar,Bağlantılar (İkincil),Beden,Cihaz AÄŸÄ±rlÄ±ÄŸÄ±,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran KartÄ±,Ekran KartÄ± Bellek Tipi,Ekran KartÄ± HafÄ±zasÄ±,Ekran KartÄ± Tipi,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Özelliği,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,KullanÄ±m AmacÄ±,Kullanım Amacı,Maksimum Ä°ÅŸlemci HÄ±zÄ± (GHz),Maksimum İşlemci Hızı (GHz),Okula DÃ¶nÃ¼ÅŸ,Okula Dönüş,Optik SÃ¼rÃ¼cÃ¼ Tipi,Optik Sürücü Tipi,Panel Tipi,Power Supply,Ram (Sistem BelleÄŸi),Ram (Sistem BelleÄŸi) Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel Ä°ÅŸlemci HÄ±zÄ± (GHz),Temel İşlemci Hızı (GHz),Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k StandartÄ±,Ä°ÅŸlemci FrekansÄ±,Ä°ÅŸlemci Modeli,Ä°ÅŸlemci Nesli,Ä°ÅŸlemci Tipi,Ä°ÅŸlemci Ã‡ekirdek SayÄ±sÄ±,Ä°ÅŸletim Sistemi,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,,,HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,16 GB,DDR4,Siyah,512 GB,Gen 4,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Free Dos,4-6 Saat,https://www.trendyol.com//msi/thin-gf63-12uc-877xtr-i5-12450h-16-gb-512-gb-ssd-rtx3050-15-6-dos-dizustu-bilgisayar-p-780603210?boutiqueId=61&merchantId=110963,28.499 TL
,,,Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,DDR4,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,4.4,,,,,IPS,,,,8 GB,DDR4,Gümüş,512 GB,,,,1.2,,,,,,,,,,1920 x 1080,Full HD (FHD),,1215U,12. Nesil,Intel Core i3,6,Free Dos,,https://www.trendyol.com//asus/vivobook-15-x1504za-bq450-i3-1215u-8gb-512gb-ssd-15-6-fhd-fdos-tasinabilir-dizustu-bilgisayar-p-769232449?boutiqueId=61&merchantId=104683,10.999 TL
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,4.2,,,,,,,,,16 GB,DDR4,Siyah,512 GB,,,,2.4,,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/v15-i5-1135g7-16gb-512gb-ssd-15-6-fhd-w11pro-tasinabilir-bilgisayar-82kb00n9tx-p-741544827?boutiqueId=61&merchantId=668896,21.727 TL
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,4.7,,,,,TN,,,,16 GB,DDR4,Gri,512 GB,,,,2.8,,,,,,,,,,1920 x 1080,Full HD (FHD),,1165G7,11. Nesil,Intel Core i7,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad-3-i7-1165g7-16gb-512gb-ssd-15-6-fhd-fdos-tasinabilir-bilgisayar-82h803fttx-p-744793697?boutiqueId=61&merchantId=668896,22.931 TL
,,,HDMI - USB,,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,16 GB,DDR5,Siyah,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,13420H,13. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//hp/omen-16-wd0001nt-7x9y4ea-i5-13420h-16gb-ram-512gb-ssd-6gb-rtx-4050-16-1-fhd-freedos-p-761172692?boutiqueId=61&merchantId=467452,36.999 TL
,,,,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce MX350,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Oyun,,,,,,Yok,,,,,16 GB,DDR4,Siyah,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/v15-82kb09cntx06-i5-1135g7-16gb-512ssd-mx350-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-375710071?boutiqueId=61&merchantId=106664,18.868 TL
,32 GB,,USB - Bluetooth - HDMI,Mini HDMI - VGA,,,2 kg ve Altı,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,4.2,,,,Yok,IPS,,,,16 GB,DDR4,Siyah,512 GB,Gen 4,,,2.4,,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,4-6 Saat,https://www.trendyol.com//asus/expertbook-intel-core-i5-1135g7-16gb-512gb-2gb-vga-mx330-14-fhd-free-dos-b14002-p-767395850?boutiqueId=61&merchantId=773412,17.499 TL
,,,,,,,,,,,,,,Nvidia GeForce RTX 4060Ti,GDDR6,,Harici,,,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,1 TB,,,Oyun,,,,,,Yok,,,,,16 GB,,,1 TB,,,,,,,,,,,,,,,,,Ryzen 7 5700X,Belirtilmemiş,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//dragos/drx6131-ryzen-7-5700x-16gb-ram-1tb-m-2-nvme-ssd-8gb-rtx4060ti-sivi-sogutmali-oyuncu-bilgisaya-p-765655996?boutiqueId=61&merchantId=107513,"33.677,90 TL"
,,,Bluetooth - HDMI,,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,6 GB,Dahili,,144 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Oyun,,,,,,,IPS,,,,32 GB,DDR5,Siyah,1 TB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0043nt-7p6c6ea-6gb-rtx3050-13-nesil-i7-13700h-32gb-ram-1tb-ssd-16-1-inc-fhd-144hz-p-733166702?boutiqueId=61&merchantId=118442,33.999 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ev - Okul,,,,,,DVD RW,,,,,8 GB,LPDDR5,Gri,256 GB,,,,,,,,,,,,,,1366 x 768,HD Ready (HD),,Belirtilmemiş,Belirtilmemiş,AMD Athlon,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad-1-15amn7-dizustu-bilgisayar-p-784227785?boutiqueId=61&merchantId=885718,9.299 TL
,64 GB,,VGA - HDMI - DP - COM,,,,4 kg ve Üstü,,25 + inç,,,,,AMD Radeon RX 580,GDDR5,8 GB,Harici,,90 Hz,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,240,Q Türkçe,,Oyun,,,,,,Yok,IPS,500 W ve üstü,,,32 GB,DDR4,,240 GB,Gen 3,AM4,,3.4,,,,,,,,,,1920 x 1080,Full HD (FHD),3.00 GHz üstü,AMD Ryzen 5 1600,Belirtilmemiş,AMD Ryzen 5,12,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//ryzen/gaming-pc-oyuncu-bilgisayari-rgb-masaustu-set-ryzen-5-rx-580-p-780086661?boutiqueId=61&merchantId=881121,"15.344,01 TL"
,64 GB,,VGA - HDMI - DP - COM,,,,4 kg ve Üstü,,25 + inç,,,,,AMD Radeon RX 580,GDDR5,8 GB,Harici,,90 Hz,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,240,Q Türkçe,,Oyun,,,,,,Yok,IPS,500 W ve üstü,,,32 GB,DDR4,,240 GB,Gen 3,AM4,,3.4,,,,,,,,,,1920 x 1080,Full HD (FHD),3.00 GHz üstü,AMD Ryzen 5 1600,Belirtilmemiş,AMD Ryzen 5,12,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//ryzen/gaming-oyuncu-pc-bilgisayar-kasasi-masaustu-set-ryzen-5-rx580-rgb-p-780085661?boutiqueId=61&merchantId=881121,"11.780,01 TL"
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,165 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),,Oyun,,4.7,,,,,IPS,,,,32 GB,DDR5,Siyah,1 TB,Gen 4,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,12700H,12. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//acer/nitro-5-an515-58-775t-7-12700h-32gb-1tb-ssd-rtx4060-8gb-165hz-15-6-fhd-w11-pro-nh-qm0ey-002-p-769284247?boutiqueId=61&merchantId=448871,42.999 TL
,,USB - Bluetooth - HDMI,,,,2 - 4 kg,,Yok,"15,6 inÃ§",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,,,,144 Hz,,,2 YÄ±l,,Monster TÃ¼rkiye Garantili,,,HDD Yok,,Q TÃ¼rkÃ§e + Numerik (RGB AydÄ±nlatmalÄ±),Oyun,,4.7,,,,,,IPS,,16 GB,DDR4,,,Siyah,1 TB,Gen 4,,2.3,,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Free Dos,3 Saat ve AltÄ±,,,,,,,,,,https://www.trendyol.com//monster/tulpar-t5-v23-2-4-intel-core-i7-12650h-16-gb-ram-1-tb-ssd-8-gb-rtx-4060-freedos-15-6-fhd-144-hz-p-745868598?boutiqueId=61&merchantId=105286,39.899 TL
,,,,,,,2 kg ve Altı,Yok,14 inç,,,,,Intel UHD Graphics 600,SD,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,,,,,,16 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,N4020,Belirtilmemiş,Intel Celeron,2,Windows,,https://www.trendyol.com//asus/x415ma-ek385w07-n4020-16gb-256ssd-14-fullhd-w11h-tasinabilir-bilgisayar-p-640027741?boutiqueId=61&merchantId=557390,9.419 TL
,,,,,,,Belirtilmemiş,Yok,16 inç,,,,,Belirtilmemiş,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Huawei Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,,16 GB,Belirtilmemiş,Çok Renkli,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,Belirtilmemiş,Belirtilmemiş,Intel Core i5,Belirtilmemiş,Windows,,https://www.trendyol.com//huawei/matebook-d16-rollef-w5651d-intel-core-i5-12450h-16-gb-ram-512-gb-ssd-tasinabilir-bilgisayar-p-674411459?boutiqueId=61&merchantId=107870,22.999 TL
,,,Bluetooth,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel HD Graphics,DDR4,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,128 GB,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,,,,,,4 GB,DDR5,Gri,128 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,Belirtilmemiş,3. Nesil,Intel Core i3,8,Windows,,https://www.trendyol.com//acer/a314-510p-intel-core-i3-n305-4-gb-ram-128-gb-ssd-15-6-windows-11-p-700399759?boutiqueId=626264&merchantId=105290,8.350 TL
,,,HDMI - USB,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Oyun,,,,,,,IPS,,,,16 GB,DDR5,Siyah,512 GB,,,,2.4,,,,,,,,,,1920 x 1080,Full HD (FHD),,13620H,13. Nesil,Intel Core i7,10,Free Dos,3 Saat ve Altı,https://www.trendyol.com//acer/nitro-v-15-core-i7-13620h-16gb-512gb-ssd-rtx-4050-freedos-15-6-fhd-notebook-nh-qnbey-005-165-p-784195255?boutiqueId=61&merchantId=107007,33.199 TL
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,SD,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Ofis - İş,,,,,,,,,,,16 GB,DDR4,Siyah,500 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//everest/everbook-eb-15r03-i5-1135g7-16gb-500ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-639508634?boutiqueId=61&merchantId=106664,12.009 TL
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,5.0,,,,,IPS,,,,16 GB,DDR4,Gri,1 TB,Gen 4,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,11390H,11. Nesil,Intel Core i7,4,Free Dos,,https://www.trendyol.com//casper/nirvana-x600-139h-bf00x-g-f-intel-core-i7-11390h-16-gb-ram-1tb-nvme-ssd-gen4-freedos-p-773800628?boutiqueId=61&merchantId=596327,16.850 TL
,,,USB,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,500 GB,,Q Türkçe,,Oyun,,,,,,,Full HD,,,,16 GB,DDR4,Siyah,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//msi/thin-gf63-12-nesil-core-i5-12450h-rtx3050-4gb-16gb-512gb-ssd-15-6inc-w11-p-779234703?boutiqueId=61&merchantId=859414,29.499 TL
,,,,,,,,,,,,,,Nvidia GeForce RTX 3060 Ti,GDDR6,,,,,,,2 Yıl,Resmi Distribütör Garantili,,,,512 GB,,,Oyun,,,,,,Yok,,,,,32 GB,,,512 GB,,,,,,,,,,,,,,,,,Ryzen 7 5700X,,AMD Ryzen 7,,Free Dos,,https://www.trendyol.com//dragos/drx2211-ryzen-7-5700x-32gb-ram-512gb-m-2-nvme-ssd-8gb-rtx3060ti-27-curved-oyun-bilgisayari-p-412367717?boutiqueId=61&merchantId=107513,"39.671,90 TL"
,,,Bluetooth - HDMI,,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Dahili,,144 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,16 GB,DDR5,Gri,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,7640HS,7. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/victus-16-s0035nt-ryzen-5-7640hs-16gb-ram-rtx-4060-512gb-ssd-16-1-inc-fhd-144hz-freedos-7z5z2ea-p-742301709?boutiqueId=61&merchantId=467452,33.499 TL
,,,Bluetooth,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,165 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,4.9,,,,,IPS,,,,16 GB,DDR5,Siyah,512 GB,,,,3.6,,,,,,,,,,1920 x 1080,Full HD (FHD),,13650HX,13. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//dell/gaming-g15-5530-g155530010wh-i7-13650hx-16gb-512gb-rtx-4050-6g-15-6-inc-fhd-w11-gaming-notebook-p-696895493?boutiqueId=632399&merchantId=105369,38.799 TL
,,,HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,,,,,,16 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,5500U,5. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//lenovo/thinkbook-15-g3-acl-r5-5500u-16gb-256gb-ssd-15-6-fhd-dos-tasinabilir-bilgisayar-21a4017dtx-p-456495609?boutiqueId=61&merchantId=106198,13.599 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//zeiron/avanti-ix32-i3-10100f-16gb-512gb-nvme-m-2-320gb-rx550-23-8-oyuncu-masaustu-bilgisayar-p-463523503?boutiqueId=61&merchantId=127037,14.350 TL
,,,Bluetooth,,,,2 - 4 kg,Yok,"17,3 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,165 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,,VA,,,,16 GB,DDR5,Siyah,1 TB,,,,,,,,,,,,,,2560 x 1440,QHD,,13700HX,13. Nesil,Intel Core i7,16,Free Dos,,https://www.trendyol.com//hp/omen-17-cm2005nt-7p6d8ea-13-uyumlu-intel-i7-13700hx-16gb-1tb-ssd-8gb-rtx4060-17-3-inc-qhd-165hz-p-740956247?boutiqueId=61&merchantId=467452,49.999 TL
,,,Wi-Fi,,,,2 kg ve Altı,Yok,10 inç,,,,,AMD Radeon R5,DDR,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,İthalatçı Garantili,,,HDD Yok,,Q Türkçe,,Ev - Okul,,,,,,,,,,,1 GB,DDR1,Siyah,120 GB,,,,,,,,,,,,,,1280 x 800,Full HD (FHD),,9750H,1. Nesil,Intel Atom,1,Free Dos,,https://www.trendyol.com//huawei/matebook-x-pro-2023-windows-11-pro-i7-yeni-koyu-mavi-p-734398816?boutiqueId=623361&merchantId=968,"50.699,35 TL"
,,,HDMI - USB,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,4.7,,,,Yok,TN,,,,16 GB,DDR4,Gri,1 TB,,,,1.7,,,,,,,,,,1920 x 1080,Full HD (FHD),,5700U,12. Nesil,AMD Ryzen 7,10,Free Dos,4-6 Saat,https://www.trendyol.com//lenovo/ideapad-1-amd-ryzen-7-5700u-16gb-1tb-ssd-freedos-15-6-fhd-canta-hediye-p-781026611?boutiqueId=61&merchantId=734484,15.999 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,8 GB,DDR5,Gümüş,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,6600H,6. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/victus-16-e1011nt-amd-ryzen-5-6600h-8gb-512gb-rtx3050ti-16-1-fhd-144hz-dos-68s27ea-p-752684631?boutiqueId=623361&merchantId=968,24.999 TL
,,,,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX3060,GDDR6,4 GB,Harici,,120 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,RGB Türkçe,,Oyun,,,,,,,IPS,,,,16 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-82s90140tx-intel-core-i5-12450h-16gb-1tb-ssd-rtx3060-6gd6-15-6-fhd-freedos-p-689278581?boutiqueId=61&merchantId=316311,29.079 TL
,,,,,,,,,,,,,,Nvidia GeForce RTX 4090,GDDR6X,,Harici,,,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,Yok,Q Türkçe,,Oyun,,,,,,Yok,,500 W ve üstü,,,64 GB,DDR5,,1 TB,,,,,,,,,,,,,,1920 x 1080,,,13900K,13. Nesil,Intel Core i9,16,Free Dos,,https://www.trendyol.com//izoly/storm-i9-13900k-32gb-ddr5-1tb-m-2-nvme-ssd-24gb-rtx4090-27-165hz-curved-oyuncu-bilgisayari-p-748099384?boutiqueId=61&merchantId=123676,"174.817,80 TL"
,16 GB,,Kablo,,,,4 kg ve Üstü,,"5,5 - 6 inç",,,,,Dahili Ekran Kartı,DDR3,Paylaşımlı,Dahili,,,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,Yok,Yok,,Ofis - İş,,,,,,Yok,,250 - 350 W,,,8 GB,DDR3,Siyah,256 GB,,,,3.2,,,,,,,,,,1366 x 768,Full HD (FHD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//izoly/swift-intel-core-i5-3470-3-60ghz-8gb-256gb-ssd-ofis-bilgisayari-p-57428846?boutiqueId=61&merchantId=123676,"3.539,16 TL"
,,,HDMI - USB,,,,2 - 4 kg,Yok,"17,3 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,32 GB,DDR5,Siyah,1 TB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,13900H,13. Nesil,Intel Core i9,14,Windows,,https://www.trendyol.com//msi/katana-17-b13vfk-1018tr-i9-32gb-ddr5-1tb-ssd-rtx4060-8gb-144hz-fhd-w11-home-gaming-laptop-p-784564380?boutiqueId=61&merchantId=105013,62.652 TL
,,,Bluetooth,,,,2 kg ve Altı,Var,16 inç,,,,,Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,1 TB,Q Türkçe,,Ofis - İş,,+5,,,,Yok,IPS,,,,16 GB,LPDDR5,Gümüş,1 TB,,,,3.8,,,,,,,,,,2560 x 1600,QHD,,12900H,12. Nesil,Intel Core i9,14,Windows,,https://www.trendyol.com//huawei/matebook-16s-i9-12900h-16gb-1tb-w11h-16-tasinabilir-bilgisayar-cref-x9611t-p-335912096?boutiqueId=61&merchantId=369055,41.499 TL
,,,,,,,2 kg ve Altı,Yok,14 inç,,,,,AMD Radeon Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,512 GB,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,,16 GB,LPDDR4X,Siyah,SSD Yok,,,,,,,,,,,,,,2880 x 1800,FHD+,,5625U,5. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//asus/zenbook-14-oled-um3402-5-nesil-ryzen-5-5625u-16gb-512-ssd-14inc-w11-p-354123882?boutiqueId=61&merchantId=482979,35.999 TL
,,,Bluetooth,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,256 GB,,Q Türkçe,,Ev - Okul,,4.2,,,,Yok,IPS,,,,8 GB,DDR4,Gri,256 GB,,,,2.4,,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//huawei/matebook-d15-intel-core-i5-1155g7-8gb-256gb-ssd-windows-11-home-15-6-fhd-tasinabilir-bilgis-p-784587333?boutiqueId=61&merchantId=106740,14.999 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Oyun,,4.7,,,,,IPS,,,,16 GB,DDR5,Mavi,512 GB,Gen 4,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,13500H,13. Nesil,Intel Core i5,12,Windows,6 Saat ve Üstü,https://www.trendyol.com//hp/victus-core-i5-13500h-16-ram-512-gb-ssd-rtx4060-16-1-win11-laptop-mavi-7p6l2ea-p-775825971?boutiqueId=61&merchantId=126144,35.999 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,16 inç,,,,,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,,165 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),,Oyun,,4.9,,,,,IPS,,,,16 GB,DDR5,Gri,1 TB,,,,2.6,,,,,,,,,,1920 x 1200,FHD+,,13650HX,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//asus/rog-strix-g16-g614ji-n3189-intel-i7-13650hx-16gb-1tb-ssd-rtx4070-165hz-dos-16-wuxga-notebook-p-695811288?boutiqueId=61&merchantId=106740,55.499 TL
